Rank,School District,Score,Expenditures Per Pupil,Income
136,Inver Grove Heights Schools,13.04,"13,359.00","81,134.00"
137,Perham-Dent Public School District,13.14,"12,509.00","67,005.00"
138,Rushford-Peterson Public Schools,13.2,"12,423.00","67,414.00"
139,Climax-Shelly Public Schools,13.36,"14,141.00","58,269.00"
140,Mountain Iron-Buhl School District,13.37,"14,025.00","58,875.00"
141,Melrose Public School District,13.37,"12,602.00","66,353.00"
142,Norman County East School District,13.42,"16,956.00","62,500.00"
143,Fillmore Central,13.42,"12,810.00","65,227.00"
144,Grand Rapids Public School District,13.45,"14,027.00","58,807.00"
145,Robbinsdale Public School District,13.77,"14,745.00","74,374.00"
146,Milaca Public School District,13.93,"12,225.00","67,935.00"
147,Adrian Public School District,13.97,"13,128.00","63,164.00"
148,Long Prairie-Grey Eagle School District,14.31,"14,102.00","57,802.00"
149,Mankato Public School District,14.32,"12,835.00","64,456.00"
150,Barnum Public School District,14.46,"11,278.00","72,537.00"
151,Roseau Public School District,14.47,"11,827.00","69,643.00"
152,Litchfield Public School District,14.48,"12,947.00","63,750.00"
153,GFW Public Schools,14.52,"13,830.00","59,079.00"
154,Frazee-Vergas Public School District,14.68,"13,192.00","62,321.00"
155,Tri-County School District,14.83,"14,892.00","53,281.00"
156,Sauk Rapids-Rice Public Schools,15.13,"12,236.00","67,028.00"
157,Battle Lake Public School District,15.26,"11,984.00","68,261.00"
158,Mountain Lake Public Schools,15.38,"13,853.00","58,348.00"
159,Hancock Public School District,15.52,"11,380.00","71,250.00"
160,Clinton-Graceville-Beardsley,15.63,"13,421.00","60,446.00"
161,East Grand Forks Public School District,15.83,"11,371.00","71,071.00"
162,Glenville-Emmons School District,15.87,"16,648.00","65,865.00"
163,Spring Grove School District,15.88,"14,207.00","56,136.00"
164,Southland Public School District,15.96,"13,964.00","80,034.00"
165,Menahga Public School District,16.02,"13,510.00","59,700.00"
166,Rochester Public School District,16.2,"13,420.00","83,063.00"
167,Lake Of The Woods School District,16.22,"13,845.00","57,798.00"
168,Hendricks Public School District,16.24,"15,960.00","46,667.00"
169,New London-Spicer School District,16.26,"12,803.00","86,343.00"
170,Pelican Rapids Public Schools,16.29,"11,288.00","71,186.00"
171,Austin Public School District,16.3,"14,097.00","56,416.00"
172,Lac Qui Parle Valley Schools,16.42,"14,618.00","53,594.00"
173,Mabel-Canton Public School District,16.48,"12,969.00","62,212.00"
174,Deer River Public School District,16.5,"17,581.00","61,406.00"
175,North Branch Area Public Schools,16.53,"11,672.00","92,481.00"
176,Edgerton Public School District,16.71,"12,864.00","62,604.00"
177,Roseville Public School District,16.86,"14,334.00","78,729.00"
178,Hibbing Public School District,17.01,"15,179.00","50,221.00"
179,Pierz Public School District,17.04,"11,446.00","69,821.00"
180,Brainerd Public School District,17.1,"13,036.00","61,424.00"
181,West St. Paul-Mendota Heights-Eagan,17.22,"14,548.00","77,854.00"
182,Kingsland Public School District,17.25,"11,522.00","69,271.00"
183,Swanville Public School District,17.47,"11,036.00","71,667.00"
184,Montevideo Public School District,17.48,"13,460.00","58,926.00"
185,Nashwauk-Keewatin School District,17.73,"13,755.00","57,197.00"
186,Northland Community Schools,17.77,"20,050.00","49,337.00"
187,Ulen-Hitterdal Public School District,17.84,"14,323.00","54,130.00"
188,Nevis Public School District,17.86,"11,422.00","69,362.00"
189,North St. Paul-Maplewood Oakdale,17.96,"14,450.00","78,898.00"
190,Warroad Public School District,17.98,"13,280.00","59,515.00"
191,Martin County West School District,18,"13,246.00","59,677.00"
192,Buffalo-Hanover-Montrose Public School District,18.02,"12,549.00","88,927.00"
193,Wabasha-Kellogg School District,18.09,"11,818.00","67,120.00"
194,Wheaton Area Public School District,18.35,"14,760.00","51,477.00"
195,Ashby Public School District,18.51,"11,451.00","68,750.00"
196,Chisholm Public School District,18.53,"14,422.00","53,125.00"
197,Lynd Public School District,18.82,"15,642.00","73,243.00"
198,Esko Public School District,18.85,"9,789.00","104,022.00"
199,Duluth Public School District,18.87,"12,822.00","61,291.00"
200,Granada Huntley East Chain,18.93,"15,249.00","75,385.00"
201,Ely Public School District,19.08,"14,540.00","52,113.00"
202,Park Rapids Public School District,19.17,"12,751.00","61,449.00"
203,Bird Island-Olivia-Lake Lillian,19.36,"12,632.00","61,942.00"
204,Wabasso Public School District,19.57,"12,479.00","62,596.00"
205,Pine Point Public School District,19.81,"22,736.00","36,667.00"
206,International Falls School District,19.83,"14,079.00","54,003.00"
207,Red Rock Central School District,19.85,"13,508.00","56,989.00"
208,Lake Benton Public School District,20.03,"18,971.00","56,607.00"
209,Onamia Public School District,20.1,"19,536.00","53,690.00"
210,Minneota Public School District,20.3,"11,623.00","66,576.00"
211,Cass Lake-Bena Public Schools,20.31,"19,548.00","53,778.00"
212,NRHEG School District,20.39,"11,020.00","69,679.00"
213,Plainview-Elgin-Millville,20.47,"10,002.00","74,974.00"
214,St. James Public School District,20.47,"13,512.00","56,528.00"
215,Crosby-Ironton Public School District,20.59,"13,706.00","55,422.00"
216,Marshall Public School District,20.62,"13,108.00","58,542.00"
217,Royalton Public School District,20.73,"9,911.00","75,268.00"
218,Browns Valley Public School District,20.85,"15,268.00","47,031.00"
219,Redwood Area School District,21.1,"12,829.00","59,667.00"
220,Hutchinson Public School District,21.13,"11,593.00","66,142.00"
221,Springfield Public School District,21.15,"12,798.00","59,795.00"
222,Northfield Public School District,21.15,"13,933.00","83,883.00"
223,St. Paul Public School District,21.29,"17,834.00","63,483.00"
224,Jackson County Central School District,21.36,"12,359.00","61,953.00"
225,Moose Lake Public School District,21.59,"11,698.00","65,263.00"
226,Win-E-Mac School District,21.7,"13,346.00","56,528.00"
227,Ada-Borup Public School District,21.81,"12,756.00","59,545.00"
228,Sebeka Public School District,21.88,"14,411.00","50,799.00"
229,Pequot Lakes Public Schools,21.9,"11,416.00","66,525.00"
230,Staples-Motley School District,21.94,"13,508.00","55,503.00"
231,Verndale Public School District,22.15,"11,975.00","63,409.00"
232,Thief River Falls School District,22.23,"11,603.00","65,307.00"
233,Chisago Lakes School District,22.38,"11,709.00","96,442.00"
234,Chokio-Alberta Public Schools,22.57,"16,410.00","71,875.00"
235,Randolph Public School District,22.59,"10,714.00","101,818.00"
236,Pipestone Area School District,22.67,"13,024.00","57,530.00"
237,Round Lake-Brewster Public Schools,22.67,"10,793.00","69,250.00"
238,Cloquet Public School District,22.7,"13,155.00","56,818.00"
239,Belgrade-Brooten-Elrosa School District,22.84,"11,916.00","63,229.00"
240,Kittson Central School District,23.27,"17,696.00","65,612.00"
241,Becker Public School District,23.32,"11,801.00","96,625.00"
242,United South Central Schools,23.52,"13,600.00","53,895.00"
243,Mahnomen Public School District,23.58,"15,416.00","44,315.00"
244,Rush City Public School District,23.81,"10,829.00","68,257.00"
245,Fosston Public School District,23.89,"13,964.00","51,719.00"
246,Byron Public School District,23.91,"10,214.00","105,385.00"
247,Watertown-Mayer Public School District,24.1,"11,310.00","99,763.00"
248,New York Mills Public School District,24.35,"11,361.00","65,071.00"
249,Benson Public School District,24.4,"12,890.00","57,006.00"
250,Lanesboro Public School District,24.47,"11,295.00","65,333.00"
251,Henning Public School District,24.75,"12,511.00","58,750.00"
252,Breckenridge Public School District,24.8,"13,200.00","55,094.00"
253,Greenbush-Middle River School District,24.82,"18,736.00","61,250.00"
254,Hastings Public School District,25.12,"12,980.00","91,707.00"
255,Fairmont Area School District,25.45,"13,409.00","53,528.00"
256,Hopkins Public School District,25.46,"14,566.00","83,614.00"
257,Little Falls Public School District,25.7,"13,244.00","54,220.00"
258,Isle Public School District,25.82,"14,087.00","49,706.00"
259,Jordan Public School District,25.97,"11,153.00","101,915.00"
260,Rock Ridge Public Schools,26.14,"13,259.00","53,830.00"
261,Centennial Public School District,26.24,"12,262.00","96,278.00"
262,Mounds View Public School District,26.26,"13,288.00","90,899.00"
263,Forest Lake Public School District,26.39,"13,120.00","91,877.00"
264,Delano Public School District,26.5,"11,633.00","99,770.00"
265,Stephen-Argyle Central Schools,26.54,"16,352.00","75,000.00"
266,Browerville Public School District,26.71,"13,426.00","52,549.00"
267,St. Francis Area Schools,26.92,"11,292.00","101,858.00"
268,Morris Area Public Schools,26.96,"11,189.00","64,127.00"
269,Hinckley-Finlayson School District,27.1,"13,225.00","53,328.00"
270,Worthington Public School District,27.18,"12,893.00","55,014.00"
271,Blackduck Public School District,27.28,"14,190.00","48,125.00"
272,Braham Public School District,27.31,"11,209.00","63,770.00"
273,Mora Public School District,28.09,"11,663.00","60,828.00"
274,Crookston Public School District,28.1,"13,198.00","52,760.00"
275,Bagley Public School District,28.11,"12,600.00","55,893.00"
276,Caledonia Public School District,28.13,"11,827.00","59,941.00"
277,Anoka-Hennepin Public School District,28.2,"13,430.00","91,534.00"
278,Buffalo Lk-Hector-Stewart Public School District,28.33,"12,000.00","58,889.00"
279,Bloomington Public School District,28.42,"15,557.00","80,512.00"
280,Burnsville Public School District,28.45,"15,467.00","81,002.00"
281,Cook County Public Schools,28.46,"18,506.00","65,045.00"
282,White Bear Lake School District,29.26,"13,871.00","89,966.00"
283,Shakopee Public School District,29.69,"12,158.00","99,278.00"
284,Monticello Public School District,30.17,"14,848.00","85,480.00"
285,Aitkin Public School District,31.04,"12,772.00","52,910.00"
286,Lyle Public School District,31.22,"12,131.00","56,146.00"
287,Canby Public School District,31.97,"11,467.00","59,107.00"
288,Bertha-Hewitt Public School District,32.07,"12,792.00","52,070.00"
289,Minneapolis Public School District,32.5,"18,090.00","70,099.00"
290,Westonka Public School District,33.44,"12,789.00","98,621.00"
291,Big Lake Public School District,33.62,"12,085.00","102,449.00"
292,Wadena-Deer Creek School District,33.65,"12,985.00","49,934.00"
293,Osakis Public School District,33.88,"10,999.00","60,205.00"
294,South Koochiching School District,34.15,"19,753.00","62,529.00"
295,East Central School District,34.27,"13,378.00","47,430.00"
296,Kelliher Public School District,34.42,"18,447.00","69,583.00"
297,Houston Public School District,34.55,"11,067.00","59,375.00"
298,Farmington Public School District,35.35,"11,407.00","107,241.00"
299,Blue Earth Area Public School,36.17,"11,608.00","55,381.00"
300,Waconia Public School District,36.38,"11,789.00","105,966.00"
301,Elk River School District,36.53,"11,853.00","105,736.00"
302,Kerkhoven-Murdock-Sunburg,37.76,"11,062.00","57,122.00"
303,New Prague Area Schools,37.93,"11,298.00","109,646.00"
304,Pine River-Backus School District,38.4,"12,177.00","50,807.00"
305,St. Louis Park Public School District,39.44,"15,700.00","87,585.00"
306,Osseo Public School District,39.69,"14,717.00","92,931.00"
307,St. Michael-Albertville Schools,40.18,"10,934.00","113,159.00"
308,Herman-Norcross School District,41.76,"19,043.00","71,667.00"
309,Fergus Falls Public School District,42.05,"10,952.00","54,652.00"
310,Red Lake Public School District,42.27,"24,211.00","44,874.00"
311,Rosemount-Apple Valley-Eagan,44.99,"13,182.00","104,763.00"
312,Rockford Public School District,45.48,"13,538.00","103,239.00"
313,Prior Lake-Savage Area Schools,45.75,"11,391.00","114,713.00"
314,South Washington County Schools,46.59,"12,973.00","106,997.00"
315,Eastern Carver County Public School,50.27,"12,752.00","110,770.00"
316,Grygla Public School District,53.78,"21,303.00","68,333.00"
317,Stillwater Area Public Schools,56.35,"13,952.00","108,783.00"
318,Fisher Public School District,58.3,"15,333.00","102,917.00"
319,Milroy Public School District,64.1,"22,846.00","67,550.00"
320,Mahtomedi Public School District,64.42,"12,367.00","122,845.00"
321,Norman County West School District,69.29,"26,174.00","53,750.00"
322,Eden Prairie Public School District,72.59,"13,978.00","120,187.00"
323,Lakeville Public School District,72.78,"13,697.00","121,796.00"
324,Minnetonka Public School District,91.25,"13,584.00","135,514.00"
325,Wayzata Public School District,93.5,"13,766.00","136,157.00"
326,Edina Public School District,99.7,"13,290.00","143,060.00"
327,Orono Public School District,99.82,"14,183.00","138,456.00"
328,Nett Lake Public School District,158.64,"42,304.00","32,455.00"
