URL,Headline,Content_Pubdate,Content_Subtitle,Content_Wrapper
https://www.mprnews.org/episode/2022/02/28/how-educator-burnout-and-stress-is-playing-out-in-minnesota-schools,How educator burnout and stress is playing out in Minnesota schools,"March 1, 2022 11:00 AM",NA,NA
https://www.mprnews.org/story/2016/03/24/from-duluth-a-reminder-that-the-kids-are-alright,"From Duluth, a reminder that the kids are alright","March 24, 2016 12:54 PM",NA,NA
https://www.mprnews.org/story/2022/02/18/5-questions-about-minneapolis-st-paul-teachers-support-strike,"Teacher strikes loom in St. Paul, Minneapolis: 5 key questions, answered","February 18, 2022 12:15 PM",NA,NA
https://www.mprnews.org/episode/2022/03/11/district-warns-minneapolis-teachers-strike-may-lead-to-calendar-changes,District warns Minneapolis teachers' strike may lead to calendar changes,"March 11, 2022 4:29 PM",NA,NA
https://www.mprnews.org/episode/2022/03/08/minneapolis-teachers-strike-st-paul-educators-and-district-reach-tentative-deal,Minneapolis teachers strike; St. Paul educators and district reach tentative deal,"March 8, 2022 7:01 AM",NA,NA
https://www.mprnews.org/story/2022/03/31/jarabe-mexicano-troubadours-and-teachers-come-to-minnesota,Jarabe Mexicano: Troubadours and teachers come to Minnesota,"March 31, 2022 4:00 AM",NA,NA
https://www.mprnews.org/episode/2022/03/24/the-end-of-the-minneapolis-teachers-strike-may-be-in-sight,The end of the Minneapolis teachers strike may be in sight,"March 24, 2022 5:06 PM",NA,NA
https://www.mprnews.org/story/2022/03/20/minneapolis-school-leaders-issue-final-offer-in-move-to-end-strike,Minneapolis school leaders issue 'final offer' to educational support professionals in move to end strike,"March 20, 2022 3:55 PM",NA,NA
https://www.mprnews.org/episode/2022/03/09/minneapolis-teachers-strike-continues-district-says-it-cant-afford-union-demands,Minneapolis teachers strike continues; district says it can't afford union demands,"March 9, 2022 7:04 AM",NA,NA
https://www.mprnews.org/episode/2022/03/09/minneapolis-teachers-strike-continues-district-says-it-cant-afford-union-demands,Minneapolis teachers strike continues; district says it can't afford union demands,"March 9, 2022 7:04 AM",NA,NA
https://www.mprnews.org/episode/2013/05/06/johnsons-in-kluwes-out-solar-gets-boost-teacher-of-the-year-named,Johnson's in; Kluwe's out; solar gets boost; teacher of the year named,"May 6, 2013 12:00 AM",NA,NA
https://www.mprnews.org/episode/2013/05/06/johnsons-in-kluwes-out-solar-gets-boost-teacher-of-the-year-named,Johnson's in; Kluwe's out; solar gets boost; teacher of the year named,"May 6, 2013 12:00 AM",NA,NA
https://www.mprnews.org/episode/2022/03/16/new-developments-in-the-minneapolis-teachers-strike-with-some-reports-of-movement,"New developments in the Minneapolis teachers strike, with some reports of movement","March 16, 2022 5:16 PM",NA,NA
https://www.mprnews.org/episode/2022/03/16/new-developments-in-the-minneapolis-teachers-strike-with-some-reports-of-movement,"New developments in the Minneapolis teachers strike, with some reports of movement","March 16, 2022 5:16 PM",NA,NA
https://www.mprnews.org/story/2022/02/25/survey-mn-students-theyre-learning-more-but-mental-health-concerns-growing,"Survey: MN students learning more, but mental health concerns growing","February 25, 2022 2:43 PM",NA,NA
https://www.mprnews.org/story/2022/03/15/minneapolis-educators-strike-continues-classes-canceled-for-a-sixth-day,Minneapolis educators' strike continues; classes canceled for a sixth day,"March 15, 2022 5:00 PM",NA,NA
https://www.mprnews.org/episode/2022/02/17/minneapolis-and-st-paul-teachers-unions-hold-strike-vote,Minneapolis and St. Paul teachers unions hold strike vote,"February 17, 2022 3:58 PM",NA,NA
https://www.mprnews.org/episode/2022/02/15/sharon-says-so-on-hearing-from-thousands-of-teachers-on-burnout-other-struggles,"Sharon Says So on hearing from thousands of teachers on burnout, other struggles","February 15, 2022 4:30 PM",NA,NA
https://www.mprnews.org/episode/2022/03/11/talks-continue-as-minneapolis-teachers-strike-stretches-into-fourth-day,Talks continue as Minneapolis teachers strike stretches into fourth day,"March 11, 2022 6:59 AM",NA,NA
https://www.mprnews.org/episode/2022/03/11/talks-continue-as-minneapolis-teachers-strike-stretches-into-fourth-day,Talks continue as Minneapolis teachers strike stretches into fourth day,"March 11, 2022 6:59 AM",NA,NA
https://www.mprnews.org/story/2022/03/06/strike-deadline-for-minneapolis-st-paul-educators-looms,"Strike deadline for Minneapolis, St. Paul educators looms","March 6, 2022 3:41 PM",NA,NA
https://www.mprnews.org/story/2008/03/20/kids-being-kids,Kids being kids,"March 20, 2008 9:23 AM",NA,NA
