District,School,City,Grade Level,Expenditures Per Pupil
EAST CENTRAL SCHOOL DISTRICT,EAST CENTRAL ELEMENTARY,FINLAYSON,Elementary,"12,261.00"
EAST CENTRAL SCHOOL DISTRICT,EAST CENTRAL SENIOR SECONDARY,FINLAYSON,High,"13,146.00"
EAST GRAND FORKS PUBLIC SCHOOL DIST,,EAST GRAND FORKS,,"10,812.00"
EAST GRAND FORKS PUBLIC SCHOOL DIST,CENTRAL MIDDLE,EAST GRAND FORKS,Middle,"10,160.00"
EAST GRAND FORKS PUBLIC SCHOOL DIST,EAST GRAND FORKS SENIOR HIGH,EAST GRAND FORKS,High,"13,016.00"
EAST GRAND FORKS PUBLIC SCHOOL DIST,NEW HEIGHTS ELEMENTARY,EAST GRAND FORKS,Elementary,"9,315.00"
EAST GRAND FORKS PUBLIC SCHOOL DIST,SOUTH POINT ELEMENTARY,EAST GRAND FORKS,Elementary,"10,356.00"
EAST RANGE ACADEMY OF TECH-SCIENCE,,EVELETH,,"15,983.00"
EAST RANGE ACADEMY OF TECH-SCIENCE,EAST RANGE ACADEMY OF TECH-SCIENCE,EVELETH,High,"15,983.00"
EASTERN CARVER COUNTY PUBLIC SCHOOL,,CHASKA,,"12,819.00"
EASTERN CARVER COUNTY PUBLIC SCHOOL,112 ALC INDEPENDENT STUDY,CHASKA,High,"16,581.00"
EASTERN CARVER COUNTY PUBLIC SCHOOL,112 ALC MIDDLE School,CHASKA,Middle,"8,563.00"
EASTERN CARVER COUNTY PUBLIC SCHOOL,112 ALC SEAT-BASED,CHASKA,High,"2,922.00"
EASTERN CARVER COUNTY PUBLIC SCHOOL,BLUFF CREEK ELEMENTARY,CHANHASSEN,Elementary,"12,741.00"
EASTERN CARVER COUNTY PUBLIC SCHOOL,CARVER ELEMENTARY School,CARVER,Elementary,"12,300.00"
EASTERN CARVER COUNTY PUBLIC SCHOOL,CHANHASSEN ELEMENTARY,CHANHASSEN,Elementary,"13,181.00"
EASTERN CARVER COUNTY PUBLIC SCHOOL,CHANHASSEN HIGH School,CHANHASSEN,High,"12,581.00"
EASTERN CARVER COUNTY PUBLIC SCHOOL,CHASKA HIGH School,CHASKA,High,"12,929.00"
EASTERN CARVER COUNTY PUBLIC SCHOOL,CHASKA MIDDLE School EAST,CHASKA,Middle,"12,522.00"
EASTERN CARVER COUNTY PUBLIC SCHOOL,CHASKA MIDDLE School WEST,CHASKA,Middle,"14,775.00"
EASTERN CARVER COUNTY PUBLIC SCHOOL,CLOVER RIDGE ELEMENTARY,CHASKA,Elementary,"11,945.00"
EASTERN CARVER COUNTY PUBLIC SCHOOL,EARLY CHILDHOOD SPECIAL EDUCATION,CHASKA,Prekindergarten,"28,502.00"
EASTERN CARVER COUNTY PUBLIC SCHOOL,EAST UNION ELEMENTARY,CARVER,Elementary,"19,175.00"
EASTERN CARVER COUNTY PUBLIC SCHOOL,INTEGRATED ARTS ACADEMY,CHASKA,High,"19,135.00"
EASTERN CARVER COUNTY PUBLIC SCHOOL,JONATHAN ELEMENTARY,CHASKA,Elementary,"11,393.00"
EASTERN CARVER COUNTY PUBLIC SCHOOL,KINDER ACADEMY,CHASKA,Elementary,"13,271.00"
EASTERN CARVER COUNTY PUBLIC SCHOOL,LA ACADEMIA,CHASKA,Elementary,"11,371.00"
EASTERN CARVER COUNTY PUBLIC SCHOOL,PIONEER RIDGE MIDDLE School,CHASKA,Middle,"12,977.00"
EASTERN CARVER COUNTY PUBLIC SCHOOL,STEPS TOWARD ADULT RESPONSIBILITY,CHASKA,High,"31,045.00"
EASTERN CARVER COUNTY PUBLIC SCHOOL,THE ANICCA PROGRAM,CHANHASSEN,Other,"16,804.00"
EASTERN CARVER COUNTY PUBLIC SCHOOL,VICTORIA ELEMENTARY,VICTORIA,Elementary,"11,408.00"
EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,,EDEN PRAIRIE,,"13,602.00"
EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,CEDAR RIDGE ELEMENTARY,EDEN PRAIRIE,Elementary,"14,938.00"
EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,CENTRAL MIDDLE School,EDEN PRAIRIE,Middle,"13,216.00"
EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,EAGLE HEIGHTS SPANISH IMMERSION,EDEN PRAIRIE,Elementary,"10,916.00"
EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,EARLY CHILDHOOD SPECIAL ED.,EDEN PRAIRIE,Prekindergarten,"42,124.00"
EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,EDEN LAKE ELEMENTARY,EDEN PRAIRIE,Elementary,"13,246.00"
EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,EDEN PRAIRIE SENIOR HIGH,EDEN PRAIRIE,High,"13,776.00"
EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,FOREST HILLS ELEMENTARY,EDEN PRAIRIE,Elementary,"13,814.00"
EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,OAK POINT ELEMENTARY,EDEN PRAIRIE,Elementary,"15,220.00"
EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,PRAIRIE VIEW ELEMENTARY,EDEN PRAIRIE,Elementary,"13,709.00"
EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,TASSEL TRANSITION,EDEN PRAIRIE,High,"24,556.00"
EDEN VALLEY-WATKINS SCHOOL DISTRICT,,EDEN VALLEY,,"10,261.00"
EDEN VALLEY-WATKINS SCHOOL DISTRICT,EDEN VALLEY ELEMENTARY,EDEN VALLEY,Elementary,"10,332.00"
EDEN VALLEY-WATKINS SCHOOL DISTRICT,EDEN VALLEY SECONDARY,EDEN VALLEY,High,"11,078.00"
EDEN VALLEY-WATKINS SCHOOL DISTRICT,EDEN VALLEY-WATKINS ALP,EDEN VALLEY,Other,"3,483.00"
EDEN VALLEY-WATKINS SCHOOL DISTRICT,WATKINS ELEMENTARY,WATKINS,Elementary,"3,483.00"
EDGERTON PUBLIC SCHOOL DISTRICT,,EDGERTON,,"13,102.00"
EDGERTON PUBLIC SCHOOL DISTRICT,EDGERTON ELEMENTARY,EDGERTON,Elementary,"13,110.00"
EDGERTON PUBLIC SCHOOL DISTRICT,EDGERTON SECONDARY,EDGERTON,High,"13,217.00"
EDINA PUBLIC SCHOOL DISTRICT,,EDINA,,"13,383.00"
EDINA PUBLIC SCHOOL DISTRICT,CONCORD ELEMENTARY,EDINA,Elementary,"12,854.00"
EDINA PUBLIC SCHOOL DISTRICT,CORNELIA ELEMENTARY,EDINA,Elementary,"15,051.00"
EDINA PUBLIC SCHOOL DISTRICT,COUNTRYSIDE ELEMENTARY,EDINA,Elementary,"12,358.00"
EDINA PUBLIC SCHOOL DISTRICT,CREEK VALLEY ELEMENTARY,EDINA,Elementary,"13,783.00"
EDINA PUBLIC SCHOOL DISTRICT,EARLY CHILDHOOD SPECIAL ED,EDINA,Elementary,"44,207.00"
EDINA PUBLIC SCHOOL DISTRICT,EDINA SENIOR HIGH,EDINA,High,"13,068.00"
EDINA PUBLIC SCHOOL DISTRICT,HIGHLANDS ELEMENTARY,EDINA,Elementary,"13,265.00"
EDINA PUBLIC SCHOOL DISTRICT,NORMANDALE ELEMENTARY,EDINA,Elementary,"10,808.00"
EDINA PUBLIC SCHOOL DISTRICT,OPTIONS AT EDINA HIGH School,EDINA,High,"2,896.00"
EDINA PUBLIC SCHOOL DISTRICT,SOUTH VIEW MIDDLE,EDINA,Middle,"15,256.00"
EDINA PUBLIC SCHOOL DISTRICT,SPECIAL ED-NON PUBLIC,EDINA,Other,"4,486.00"
EDINA PUBLIC SCHOOL DISTRICT,VALLEY VIEW MIDDLE,EDINA,Middle,"13,314.00"
EDVISIONS OFF CAMPUS SCHOOL,,HENDERSON,,"12,162.00"
EDVISIONS OFF CAMPUS SCHOOL,EDVISIONS OFF CAMPUS School,HENDERSON,High,"12,162.00"
EL COLEGIO CHARTER SCHOOL,,MINNEAPOLIS,,"16,480.00"
EL COLEGIO CHARTER SCHOOL,EL COLEGIO CHARTER School,MINNEAPOLIS,High,"16,480.00"
ELLSWORTH PUBLIC SCHOOL DISTRICT,,ELLSWORTH,,"15,473.00"
ELLSWORTH PUBLIC SCHOOL DISTRICT,ELLSWORTH ELEMENTARY,ELLSWORTH,Elementary,"13,717.00"
ELLSWORTH PUBLIC SCHOOL DISTRICT,ELLSWORTH SECONDARY,ELLSWORTH,High,"17,346.00"
ELY PUBLIC SCHOOL DISTRICT,,ELY,,"14,301.00"
ELY PUBLIC SCHOOL DISTRICT,MEMORIAL HIGH School,ELY,High,"21,688.00"
ELY PUBLIC SCHOOL DISTRICT,MEMORIAL MIDDLE School,ELY,Middle,"7,566.00"
ELY PUBLIC SCHOOL DISTRICT,WASHINGTON ELEMENTARY,ELY,Elementary,"13,995.00"
ESKO PUBLIC SCHOOL DISTRICT,,ESKO,,"9,882.00"
ESKO PUBLIC SCHOOL DISTRICT,LINCOLN SECONDARY,ESKO,High,"11,097.00"
ESKO PUBLIC SCHOOL DISTRICT,WINTERQUIST ELEMENTARY,ESKO,Elementary,"8,964.00"
EVELETH-GILBERT SCHOOL DISTRICT,,EVELETH,,"14,469.00"
EVELETH-GILBERT SCHOOL DISTRICT,EVELETH GILBERT HOPE PROGRAM,EVELETH,High,"29,236.00"
EVELETH-GILBERT SCHOOL DISTRICT,EVELETH-GILBERT JUNIOR HIGH,EVELETH,Middle,"12,357.00"
EVELETH-GILBERT SCHOOL DISTRICT,EVELETH-GILBERT SENIOR HIGH,EVELETH,High,"17,464.00"
EVELETH-GILBERT SCHOOL DISTRICT,FRANKLIN ELEMENTARY,EVELETH,Elementary,"13,763.00"
EVELETH-GILBERT SCHOOL DISTRICT,NELLE SHEAN ELEMENTARY,EVELETH,Middle,"13,631.00"
EXCELL ACADEMY CHARTER,,BROOKLYN PARK,,"15,757.00"
EXCELL ACADEMY CHARTER,EXCELL ACADEMY CHARTER,BROOKLYN PARK,Elementary,"15,757.00"
FACE TO FACE ACADEMY,,SAINT PAUL,,"18,159.00"
FACE TO FACE ACADEMY,FACE TO FACE ACADEMY,SAINT PAUL,High,"18,159.00"
FAIRMONT AREA SCHOOL DISTRICT,,FAIRMONT,,"12,248.00"
FAIRMONT AREA SCHOOL DISTRICT,FAIRMONT ELEMENTARY School,FAIRMONT,Elementary,"11,653.00"
FAIRMONT AREA SCHOOL DISTRICT,FAIRMONT JR./SR. HIGH School,FAIRMONT,High,"13,184.00"
FARIBAULT PUBLIC SCHOOL DISTRICT,,FARIBAULT,,"15,237.00"
FARIBAULT PUBLIC SCHOOL DISTRICT,EARLY CHILDHOOD SPECIAL EDUCATION,FARIBAULT,Prekindergarten,"37,613.00"
FARIBAULT PUBLIC SCHOOL DISTRICT,FARIBAULT AREA LEARNING CENTER,FARIBAULT,High,"15,490.00"
FARIBAULT PUBLIC SCHOOL DISTRICT,FARIBAULT DAY School ALC,FARIBAULT,Middle,"11,471.00"
FARIBAULT PUBLIC SCHOOL DISTRICT,FARIBAULT MIDDLE,FARIBAULT,Middle,"15,710.00"
FARIBAULT PUBLIC SCHOOL DISTRICT,FARIBAULT SENIOR HIGH,FARIBAULT,High,"14,364.00"
FARIBAULT PUBLIC SCHOOL DISTRICT,FEC PRE K,FARIBAULT,Prekindergarten,"4,561.00"
FARIBAULT PUBLIC SCHOOL DISTRICT,JEFFERSON ELEMENTARY,FARIBAULT,Elementary,"15,329.00"
FARIBAULT PUBLIC SCHOOL DISTRICT,LINCOLN ELEMENTARY,FARIBAULT,Elementary,"15,689.00"
FARIBAULT PUBLIC SCHOOL DISTRICT,MCKINLEY PREK,FARIBAULT,Prekindergarten,"4,561.00"
FARIBAULT PUBLIC SCHOOL DISTRICT,ROOSEVELT ELEMENTARY,FARIBAULT,Elementary,"16,544.00"
FARIBAULT PUBLIC SCHOOL DISTRICT,SECONDARY AREA LEARNING CNTR SUMMER,FARIBAULT,High,"4,561.00"
FARMINGTON PUBLIC SCHOOL DISTRICT,,FARMINGTON,,"10,770.00"
FARMINGTON PUBLIC SCHOOL DISTRICT,AKIN ROAD ELEMENTARY,FARMINGTON,Elementary,"10,853.00"
FARMINGTON PUBLIC SCHOOL DISTRICT,DAKOTA PRAIRIE AREA LEARNING CENTER,FARMINGTON,High,"5,531.00"
FARMINGTON PUBLIC SCHOOL DISTRICT,FARMINGTON ELEMENTARY,FARMINGTON,Elementary,"10,470.00"
FARMINGTON PUBLIC SCHOOL DISTRICT,FARMINGTON HIGH School,FARMINGTON,High,"10,632.00"
FARMINGTON PUBLIC SCHOOL DISTRICT,GATEWAY ACADEMY,FARMINGTON,Middle,"8,296.00"
FARMINGTON PUBLIC SCHOOL DISTRICT,LEVI P. DODGE MIDDLE School,FARMINGTON,Middle,"11,299.00"
FARMINGTON PUBLIC SCHOOL DISTRICT,MEADOWVIEW ELEMENTARY,FARMINGTON,Elementary,"11,904.00"
FARMINGTON PUBLIC SCHOOL DISTRICT,NORTH TRAIL ELEMENTARY,FARMINGTON,Elementary,"11,358.00"
FARMINGTON PUBLIC SCHOOL DISTRICT,RIVERVIEW ELEMENTARY,FARMINGTON,Elementary,"10,858.00"
FARMINGTON PUBLIC SCHOOL DISTRICT,ROBERT BOECKMAN MIDDLE School,FARMINGTON,Middle,"10,872.00"
FERGUS FALLS PUBLIC SCHOOL DISTRICT,,FERGUS FALLS,,"10,100.00"
FERGUS FALLS PUBLIC SCHOOL DISTRICT,ADAMS ELEMENTARY,FERGUS FALLS,Elementary,"9,229.00"
FERGUS FALLS PUBLIC SCHOOL DISTRICT,CLEVELAND ELEMENTARY,FERGUS FALLS,Elementary,"9,545.00"
FERGUS FALLS PUBLIC SCHOOL DISTRICT,FERGUS FALLS AREA LEARNING CENTER,FERGUS FALLS,High,"11,105.00"
FERGUS FALLS PUBLIC SCHOOL DISTRICT,IQ ACADEMY MINNESOTA,FERGUS FALLS,Other,"9,815.00"
FERGUS FALLS PUBLIC SCHOOL DISTRICT,KENNEDY HIGH School,FERGUS FALLS,High,"21,254.00"
FERGUS FALLS PUBLIC SCHOOL DISTRICT,KENNEDY MIDDLE School,FERGUS FALLS,Middle,"3,176.00"
FERGUS FALLS PUBLIC SCHOOL DISTRICT,MCKINLEY ELEMENTARY,FERGUS FALLS,Elementary,"8,145.00"
FERGUS FALLS PUBLIC SCHOOL DISTRICT,SHARED TIME School,FERGUS FALLS,Other,"2,419.00"
FERTILE-BELTRAMI SCHOOL DISTRICT,,FERTILE,,"12,494.00"
FERTILE-BELTRAMI SCHOOL DISTRICT,FERTILE-BELTRAMI ELEMENTARY,FERTILE,Elementary,"11,369.00"
FERTILE-BELTRAMI SCHOOL DISTRICT,FERTILE-BELTRAMI SECONDARY,FERTILE,High,"13,841.00"
FILLMORE CENTRAL,,PRESTON,,"13,392.00"
FILLMORE CENTRAL,FILLMORE CENTRAL ALP,HARMONY,High,"15,739.00"
FILLMORE CENTRAL,FILLMORE CENTRAL ELEMENTARY,PRESTON,Elementary,"11,507.00"
FILLMORE CENTRAL,FILLMORE CENTRAL SENIOR HIGH,HARMONY,High,"15,874.00"
FISHER PUBLIC SCHOOL DISTRICT,,FISHER,,"12,675.00"
FISHER PUBLIC SCHOOL DISTRICT,FISHER ELEMENTARY,FISHER,Elementary,"12,852.00"
FISHER PUBLIC SCHOOL DISTRICT,FISHER SECONDARY,FISHER,High,"12,473.00"
FIT ACADEMY,,APPLE VALLEY,,"14,747.00"
FIT ACADEMY,FIT ACADEMY,APPLE VALLEY,Elementary,"15,346.00"
FIT ACADEMY,FIT ACADEMY HIGH School,APPLE VALLEY,High,"5,506.00"
FLOODWOOD PUBLIC SCHOOL DISTRICT,,FLOODWOOD,,"16,402.00"
FLOODWOOD PUBLIC SCHOOL DISTRICT,FLOODWOOD ALT. LEARNING PROGRAM,FLOODWOOD,High,"8,209.00"
FLOODWOOD PUBLIC SCHOOL DISTRICT,FLOODWOOD ELEMENTARY,FLOODWOOD,Elementary,"17,407.00"
FLOODWOOD PUBLIC SCHOOL DISTRICT,FLOODWOOD SECONDARY,FLOODWOOD,High,"15,584.00"
FOLEY PUBLIC SCHOOL DISTRICT,,FOLEY,,"10,865.00"
FOLEY PUBLIC SCHOOL DISTRICT,FOLEY ELEMENTARY,FOLEY,Elementary,"12,134.00"
FOLEY PUBLIC SCHOOL DISTRICT,FOLEY INTERMEDIATE ELEMENTARY,FOLEY,Middle,"9,681.00"
FOLEY PUBLIC SCHOOL DISTRICT,FOLEY SENIOR HIGH,FOLEY,High,"11,301.00"
FOREST LAKE PUBLIC SCHOOL DISTRICT,,FOREST LAKE,,"12,124.00"
FOREST LAKE PUBLIC SCHOOL DISTRICT,COLUMBUS ELEMENTARY,FOREST LAKE,Elementary,"11,912.00"
FOREST LAKE PUBLIC SCHOOL DISTRICT,EARLY CHILDHOOD SPECIAL EDUCATION,FOREST LAKE,Prekindergarten,"24,512.00"
FOREST LAKE PUBLIC SCHOOL DISTRICT,FOREST LAKE AREA COMMUNITY School,FOREST LAKE,High,"22,701.00"
FOREST LAKE PUBLIC SCHOOL DISTRICT,FOREST LAKE AREA HIGH School,FOREST LAKE,High,"11,600.00"
FOREST LAKE PUBLIC SCHOOL DISTRICT,FOREST LAKE AREA MIDDLE School,FOREST LAKE,Middle,"11,297.00"
FOREST LAKE PUBLIC SCHOOL DISTRICT,FOREST LAKE ELEMENTARY,FOREST LAKE,Middle,"12,033.00"
FOREST LAKE PUBLIC SCHOOL DISTRICT,FOREST VIEW ELEMENTARY,FOREST LAKE,Elementary,"13,799.00"
FOREST LAKE PUBLIC SCHOOL DISTRICT,LINO LAKES ELEMENTARY,LINO LAKES,Elementary,"10,330.00"
FOREST LAKE PUBLIC SCHOOL DISTRICT,LINWOOD ELEMENTARY,WYOMING,Elementary,"11,780.00"
FOREST LAKE PUBLIC SCHOOL DISTRICT,SCANDIA ELEMENTARY,SCANDIA,Elementary,"10,521.00"
FOREST LAKE PUBLIC SCHOOL DISTRICT,STEP,FOREST LAKE,High,"30,569.00"
FOREST LAKE PUBLIC SCHOOL DISTRICT,WYOMING ELEMENTARY,WYOMING,Elementary,"11,377.00"
FOSSTON PUBLIC SCHOOL DISTRICT,,FOSSTON,,"13,000.00"
FOSSTON PUBLIC SCHOOL DISTRICT,FOSSTON SECONDARY,FOSSTON,High,"13,510.00"
FOSSTON PUBLIC SCHOOL DISTRICT,MAGELSSEN ELEMENTARY,FOSSTON,Elementary,"12,462.00"
FRANCONIA PUBLIC SCHOOL DISTRICT,,SCANDIA,,"9,718.00"
FRAZEE-VERGAS PUBLIC SCHOOL DIST.,,FRAZEE,,"12,399.00"
FRAZEE-VERGAS PUBLIC SCHOOL DIST.,FRAZEE ELEMENTARY,FRAZEE,Elementary,"12,293.00"
FRAZEE-VERGAS PUBLIC SCHOOL DIST.,FRAZEE SECONDARY,FRAZEE,High,"12,823.00"
FRIDLEY PUBLIC SCHOOL DISTRICT,,FRIDLEY,,"14,770.00"
FRIDLEY PUBLIC SCHOOL DISTRICT,EARLY CHILDHOOD SPECIAL EDUCATION S,FRIDLEY,Prekindergarten,"4,868.00"
FRIDLEY PUBLIC SCHOOL DISTRICT,FRIDLEY MIDDLE,FRIDLEY,Middle,"14,203.00"
FRIDLEY PUBLIC SCHOOL DISTRICT,FRIDLEY MIDDLE AREA LEARNING CENTER,FRIDLEY,Middle,"13,030.00"
FRIDLEY PUBLIC SCHOOL DISTRICT,FRIDLEY MOORE LK AREA LEARNING CTR,FRIDLEY,High,"17,816.00"
FRIDLEY PUBLIC SCHOOL DISTRICT,FRIDLEY SENIOR HIGH,FRIDLEY,High,"15,284.00"
FRIDLEY PUBLIC SCHOOL DISTRICT,HAYES ELEMENTARY,FRIDLEY,Elementary,"15,056.00"
FRIDLEY PUBLIC SCHOOL DISTRICT,STEVENSON ELEMENTARY,FRIDLEY,Elementary,"15,765.00"
FRIDLEY PUBLIC SCHOOL DISTRICT,TRANSITIONS School,FRIDLEY,High,"20,517.00"
FRIDLEY PUBLIC SCHOOL DISTRICT,VOLUNTARY PREKINDERGARTEN School,FRIDLEY,Prekindergarten,"10,260.00"
FRIENDSHIP ACDMY OF FINE ARTS CHTR.,,MINNEAPOLIS,,"14,496.00"
FRIENDSHIP ACDMY OF FINE ARTS CHTR.,FRIENDSHIP ACDMY OF FINE ARTS CHTR.,MINNEAPOLIS,Elementary,"14,496.00"
FULDA PUBLIC SCHOOL DISTRICT,,FULDA,,"15,083.00"
FULDA PUBLIC SCHOOL DISTRICT,FULDA ELEMENTARY,FULDA,Elementary,"14,392.00"
FULDA PUBLIC SCHOOL DISTRICT,FULDA SECONDARY,FULDA,High,"16,508.00"
G.F.W.,,GIBBON,,"13,893.00"
G.F.W.,G.F.W. ELEMENTARY,GIBBON,Elementary,"13,422.00"
G.F.W.,G.F.W. HIGH School,WINTHROP,High,"15,574.00"
G.F.W.,G.F.W. MIDDLE School,FAIRFAX,Middle,"13,649.00"
GATEWAY STEM ACADEMY,,BURNSVILLE,,"16,434.00"
GATEWAY STEM ACADEMY,GATEWAY STEM ACADEMY CHARTER School,BURNSVILLE,Elementary,"16,434.00"
GLACIAL HILLS ELEMENTARY,,STARBUCK,,"14,783.00"
GLACIAL HILLS ELEMENTARY,GLACIAL HILLS ELEMENTARY,STARBUCK,Elementary,"14,783.00"
GLENCOE-SILVER LAKE SCHOOL DISTRICT,,GLENCOE,,"11,104.00"
GLENCOE-SILVER LAKE SCHOOL DISTRICT,GLENCOE-SILVER LAKE SENIOR HIGH,GLENCOE,High,"11,981.00"
GLENCOE-SILVER LAKE SCHOOL DISTRICT,GSL JUNIOR HIGH School,GLENCOE,Middle,"8,253.00"
GLENCOE-SILVER LAKE SCHOOL DISTRICT,LAKESIDE ELEMENTARY,SILVER LAKE,Elementary,"10,532.00"
GLENCOE-SILVER LAKE SCHOOL DISTRICT,LINCOLN ELEMENTARY,GLENCOE,Elementary,"12,679.00"
GLENVILLE-EMMONS SCHOOL DISTRICT,,GLENVILLE,,"12,910.00"
GLENVILLE-EMMONS SCHOOL DISTRICT,GLENVILLE EMMONS ELEMENTARY,GLENVILLE,Elementary,"12,553.00"
GLENVILLE-EMMONS SCHOOL DISTRICT,GLENVILLE-EMMONS SECONDARY,GLENVILLE,High,"20,147.00"
GLOBAL ACADEMY,,COLUMBIA HEIGHTS,,"15,261.00"
GLOBAL ACADEMY,GLOBAL ACADEMY,COLUMBIA HEIGHTS,Elementary,"15,261.00"
GOODHUE PUBLIC SCHOOL DISTRICT,,GOODHUE,,"9,997.00"
GOODHUE PUBLIC SCHOOL DISTRICT,GOODHUE ELEMENTARY,GOODHUE,Elementary,"9,966.00"
GOODHUE PUBLIC SCHOOL DISTRICT,GOODHUE SECONDARY,GOODHUE,High,"10,177.00"
GOODRIDGE PUBLIC SCHOOL DISTRICT,,GOODRIDGE,,"15,268.00"
GOODRIDGE PUBLIC SCHOOL DISTRICT,GOODRIDGE ELEMENTARY,GOODRIDGE,Elementary,"13,906.00"
GOODRIDGE PUBLIC SCHOOL DISTRICT,GOODRIDGE SECONDARY,GOODRIDGE,High,"17,525.00"
GRANADA HUNTLEY EAST CHAIN,,GRANADA,,"13,295.00"
GRANADA HUNTLEY EAST CHAIN,GRANADA HUNTLEY EAST CHAIN ELEM SCH,GRANADA,Elementary,"9,679.00"
GRANADA HUNTLEY EAST CHAIN,GRANADA HUNTLEY EAST CHAIN HIGH SCH,GRANADA,High,"29,025.00"
GRANADA HUNTLEY EAST CHAIN,GRANADA HUNTLEY EAST CHAIN MIDDLE S,GRANADA,Middle,"4,252.00"
GRAND MEADOW PUBLIC SCHOOL DISTRICT,,GRAND MEADOW,,"12,494.00"
GRAND MEADOW PUBLIC SCHOOL DISTRICT,GRAND MEADOW ELEMENTARY,GRAND MEADOW,Elementary,"14,785.00"
GRAND MEADOW PUBLIC SCHOOL DISTRICT,GRAND MEADOW MIDDLE,GRAND MEADOW,Middle,"6,658.00"
GRAND MEADOW PUBLIC SCHOOL DISTRICT,GRAND MEADOW SENIOR HIGH,GRAND MEADOW,High,"16,769.00"
GRAND RAPIDS PUBLIC SCHOOL DISTRICT,,GRAND RAPIDS,,"13,013.00"
GRAND RAPIDS PUBLIC SCHOOL DISTRICT,BIGFORK ELEMENTARY,BIGFORK,Elementary,"11,945.00"
GRAND RAPIDS PUBLIC SCHOOL DISTRICT,BIGFORK SECONDARY,BIGFORK,High,"18,817.00"
GRAND RAPIDS PUBLIC SCHOOL DISTRICT,COHASSET ELEMENTARY,COHASSET,Elementary,"12,849.00"
GRAND RAPIDS PUBLIC SCHOOL DISTRICT,FOREST LAKE ELEMENTARY,GRAND RAPIDS,Elementary,"13,097.00"
GRAND RAPIDS PUBLIC SCHOOL DISTRICT,GRAND RAPIDS AREA LEARNING CENTER,GRAND RAPIDS,High,"11,995.00"
GRAND RAPIDS PUBLIC SCHOOL DISTRICT,GRAND RAPIDS EARLY CHILDHOOD CENTER,GRAND RAPIDS,Prekindergarten,"23,182.00"
GRAND RAPIDS PUBLIC SCHOOL DISTRICT,GRAND RAPIDS SENIOR HIGH,GRAND RAPIDS,High,"13,413.00"
GRAND RAPIDS PUBLIC SCHOOL DISTRICT,ITASKIN EDUCATION CENTER,GRAND RAPIDS,Other,"19,398.00"
GRAND RAPIDS PUBLIC SCHOOL DISTRICT,MURPHY ELEMENTARY,GRAND RAPIDS,Elementary,"12,067.00"
GRAND RAPIDS PUBLIC SCHOOL DISTRICT,ROBERT J. ELKINGTON MIDDLE School,GRAND RAPIDS,Middle,"11,531.00"
GRAND RAPIDS PUBLIC SCHOOL DISTRICT,SOUTHWEST ELEMENTARY,GRAND RAPIDS,Elementary,"13,477.00"
GREAT EXPECTATIONS,,GRAND MARAIS,,"16,258.00"
GREAT EXPECTATIONS,GREAT EXPECTATIONS,GRAND MARAIS,Elementary,"16,258.00"
GREAT RIVER SCHOOL,,SAINT PAUL,,"12,945.00"
GREAT RIVER SCHOOL,GREAT RIVER ELEMENTARY School,SAINT PAUL,Elementary,"5,108.00"
GREAT RIVER SCHOOL,GREAT RIVER School,SAINT PAUL,High,"19,563.00"
GREEN ISLE COMMUNITY SCHOOL,,GREEN ISLE,,"11,842.00"
GREEN ISLE COMMUNITY SCHOOL,GREEN ISLE COMMUNITY School,GREEN ISLE,Elementary,"11,842.00"
GREENBUSH-MIDDLE RIVER SCHOOL DIST.,,GREENBUSH,,"16,974.00"
GREENBUSH-MIDDLE RIVER SCHOOL DIST.,GREENBUSH ELEMENTARY,GREENBUSH,Elementary,"13,927.00"
GREENBUSH-MIDDLE RIVER SCHOOL DIST.,GREENBUSH-MIDDLE RIVER SECONDARY,GREENBUSH,High,"16,312.00"
GREENWAY PUBLIC SCHOOL DISTRICT,,COLERAINE,,"14,834.00"
GREENWAY PUBLIC SCHOOL DISTRICT,GREENWAY MIDDLE,COLERAINE,Middle,"11,974.00"
GREENWAY PUBLIC SCHOOL DISTRICT,GREENWAY SENIOR HIGH,COLERAINE,High,"17,824.00"
GREENWAY PUBLIC SCHOOL DISTRICT,MARBLE EARLY CHILDHOOD CENTER,MARBLE,Prekindergarten,"39,156.00"
GREENWAY PUBLIC SCHOOL DISTRICT,VANDYKE ELEMENTARY,COLERAINE,Elementary,"14,247.00"
GRYGLA PUBLIC SCHOOL DISTRICT,,GRYGLA,,"20,581.00"
GRYGLA PUBLIC SCHOOL DISTRICT,GRYGLA ELEMENTARY,GRYGLA,Elementary,"19,758.00"
GRYGLA PUBLIC SCHOOL DISTRICT,GRYGLA SECONDARY,GRYGLA,High,"21,429.00"
HANCOCK PUBLIC SCHOOL DISTRICT,,HANCOCK,,"11,445.00"
HANCOCK PUBLIC SCHOOL DISTRICT,HANCOCK ELEMENTARY,HANCOCK,Elementary,"10,388.00"
